row_index,prediction,ground_truth,source,batch_id,raw_output,model_name,prompt_style,batch_size,batch_col_size,n_examples_requested,run_timestamp_utc,leakage_guard_enabled,reference_source
10,649.35,587.45,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
12,5820.299999999999,5681.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
35,7192.8,7251.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
41,4844.0,4872.35,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
54,4491.0,4456.35,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
55,1718.1000000000001,1752.55,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
75,6188.0,6139.5,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
87,991.1999999999999,1057.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
96,4746.349999999999,4748.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
103,3006.2999999999997,3027.25,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
120,5588.8,5515.45,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
121,124.19999999999999,112.75,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
144,1700.45,1756.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
148,1935.0,1929.95,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
157,443.29999999999995,419.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
158,1028.0,1024.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
173,5027.049999999999,5000.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
205,2638.35,2684.85,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
209,6556.8,6654.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
217,3735.6,3789.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
247,1116.0,1074.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
256,7021.099999999999,7008.15,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
257,5717.5,5791.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
263,1545.3500000000001,1520.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
265,5374.099999999999,5526.75,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
290,1826.3999999999999,1712.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
292,1996.3999999999999,1940.8,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
297,3528.0,3437.5,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
303,4100.4,4109.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
307,2190.95,2054.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
316,1412.8999999999999,1355.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
317,3051.4,3058.65,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
323,437.40000000000003,422.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
324,4143.45,4176.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
349,6208.0,6430.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
350,2323.6,2278.75,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
354,879.9,840.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
368,7004.150000000001,6962.85,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
