run_id,dataset_key,dataset_name,target_column,scenario_family,missingness_type,mcar_scope,mar_dependency_column,mnar_driver_column,mcar_global_excluded_columns,rate_pct,seed,method_family,method_key,method_name,model_key,model_name,include_in_primary_leaderboard,include_in_secondary_full_matrix
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_credit_billamt1_mar_lora_finetuned_eval::2026-06-16T08:11:34.491209+00:00,creditcard,German Credit Card,BILL_AMT1,MAR_TARGET,MAR,target,PAY_0,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_credit_billamt1_mcar_lora_finetuned_eval::2026-06-16T08:29:23.903691+00:00,creditcard,German Credit Card,BILL_AMT1,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_credit_billamt1_mnar_lora_finetuned_eval::2026-06-16T08:48:59.720606+00:00,creditcard,German Credit Card,BILL_AMT1,MNAR_TARGET,MNAR,target,,BILL_AMT1,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_statlog_x2_mar_lora_finetuned_eval::2026-06-16T09:41:05.149062+00:00,statlog,German Statlog,X2,MAR_TARGET,MAR,target,X5,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_statlog_x2_mcar_lora_finetuned_eval::2026-06-16T09:42:58.255128+00:00,statlog,German Statlog,X2,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_statlog_x2_mnar_lora_finetuned_eval::2026-06-16T09:44:53.829890+00:00,statlog,German Statlog,X2,MNAR_TARGET,MNAR,target,,X2,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_telco_totalcharges_mar_lora_finetuned_eval::2026-06-16T07:39:47.189955+00:00,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_telco_totalcharges_mcar_lora_finetuned_eval::2026-06-16T07:46:08.244848+00:00,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_Qwen_Qwen2.5-7B-Instruct_qwen25_telco_totalcharges_mnar_lora_finetuned_eval::2026-06-16T07:52:30.352358+00:00,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_credit_billamt1_mar_lora_finetuned_eval::2026-06-16T08:22:36.804949+00:00,creditcard,German Credit Card,BILL_AMT1,MAR_TARGET,MAR,target,PAY_0,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_credit_billamt1_mcar_lora_finetuned_eval::2026-06-16T08:34:30.613727+00:00,creditcard,German Credit Card,BILL_AMT1,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_credit_billamt1_mnar_lora_finetuned_eval::2026-06-16T08:46:38.482753+00:00,creditcard,German Credit Card,BILL_AMT1,MNAR_TARGET,MNAR,target,,BILL_AMT1,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_statlog_x2_mar_lora_finetuned_eval::2026-06-16T09:41:45.017856+00:00,statlog,German Statlog,X2,MAR_TARGET,MAR,target,X5,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_statlog_x2_mcar_lora_finetuned_eval::2026-06-16T09:43:34.553500+00:00,statlog,German Statlog,X2,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_statlog_x2_mnar_lora_finetuned_eval::2026-06-16T09:45:27.231475+00:00,statlog,German Statlog,X2,MNAR_TARGET,MNAR,target,,X2,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_telco_totalcharges_mar_lora_finetuned_eval::2026-06-16T07:56:20.691463+00:00,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_telco_totalcharges_mcar_lora_finetuned_eval::2026-06-16T08:01:17.072328+00:00,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_meta-llama_Llama-3.1-8B-Instruct_llama31_telco_totalcharges_mnar_lora_finetuned_eval::2026-06-16T08:06:20.748264+00:00,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
inferred::telco_mistralai_Mistral-7B-Instruct-v0.3_mistral_credit_billamt1_mar_lora_finetuned_eval::2026-06-16T08:28:21.317689+00:00,creditcard,German Credit Card,BILL_AMT1,MAR_TARGET,MAR,target,PAY_0,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
inferred::telco_mistralai_Mistral-7B-Instruct-v0.3_mistral_credit_billamt1_mcar_lora_finetuned_eval::2026-06-16T08:49:03.121153+00:00,creditcard,German Credit Card,BILL_AMT1,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
inferred::telco_mistralai_Mistral-7B-Instruct-v0.3_mistral_credit_billamt1_mnar_lora_finetuned_eval::2026-06-16T09:13:18.310744+00:00,creditcard,German Credit Card,BILL_AMT1,MNAR_TARGET,MNAR,target,,BILL_AMT1,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
